0.90	11.93	-0.13	0.01	
0	3.65	-0.22	5.54	
0.90	3.53	-0.12	0.86	
0.90	3.45	-0.01	0.01	
0.90	3.46	-0.04	0.01	
0.90	3.45	-0.33	0.01	
0.90	3.42	-0.42	0.01	
0.90	3.39	0.26	0.01	
0.90	3.25	2.48	0.01	
0.90	3.20	4.46	0.01	
0.90	3.26	6.33	0.01	
0.90	3.38	5.31	0.01	
0.90	3.51	4.42	0.01	
0.90	3.72	2.21	0.01	
0.90	3.90	-2.16	0.01	
0.90	4.01	-8.10	0.01	
0.90	4.00	-12.27	0.01	
0.90	3.65	0.23	0.01	
0.90	3.39	0.89	0.01	
0.90	3.40	3.94	0.01	
0.90	3.65	-5.31	0.01	
0.90	3.51	0.41	0.01	
0.90	3.44	-0.40	0.01	
0.90	3.50	-0.59	0.01	
0.90	3.47	0.07	0.01	
0.90	3.50	-0.18	0.01	
0.90	3.51	-0.40	0.01	
0.90	3.54	-0.36	0.01	
0.90	3.54	0.10	0.01	
0.90	3.56	0.64	0.01	
0.90	3.65	-0.04	0.01	
0.90	3.71	0.34	0.01	
0.90	3.41	0.90	0.01	
0.90	3.35	-0.32	0.01	
0.90	3.39	-0.07	0.01	
0.90	3.38	-0.21	0.01	
0.90	3.40	-0.45	0.01	
0.90	3.46	-0.50	0.01	
0.90	3.62	-0.15	0.01	
0.90	3.86	-0.65	0.01	
0.90	4.07	0.72	0.01	
0.90	4.04	0.36	0.01	
0.90	3.95	2.03	0.01	
0.90	3.64	1.33	0.01	
0.90	3.42	-0.02	0.01	
0.90	3.38	-0.12	0.01	
0.90	3.40	-0.18	0.01	
0.90	3.44	0.04	0.01	
0.90	3.49	0.42	0.01	
0.90	3.51	-0.18	0.01	
0.90	3.54	0.23	0.01	
0.90	3.53	-0.28	0.01	
0.90	3.55	-0.35	0.01	
0.90	3.46	0.31	0.01	
0.90	3.45	0.26	0.01	
0.90	3.43	0.12	0.01	
0.90	3.40	-0.05	0.01	
0.90	3.38	-0.11	0.01	
0.90	3.38	-0.21	0.01	
0.90	3.39	0.04	0.01	
0.90	3.39	0.14	0.01	
0.90	3.39	-0.29	0.01	
0.90	3.39	-0.29	0.01	
0.90	3.39	-0.06	0.01	
0.90	3.41	-0.19	0.01	
0.90	3.42	-0.91	0.01	
0.90	3.45	-0.53	0.01	
0.90	3.50	-0.26	0.01	
0.90	3.49	0.06	0.01	
0.90	3.43	-0.64	0.01	
0.90	3.44	-0.27	0.01	
0.90	3.45	-0.14	0.01	
0.90	3.48	-0.22	0.01	
0.90	3.58	0.34	0.01	
0.90	3.63	-1.28	0.01	
0.90	3.65	-2.12	0.01	
0.90	3.69	-0.21	0.01	
0.90	3.66	0.23	0.01	
0.90	3.69	-10.15	0.01	
0.90	3.65	-20.33	0.01	
0.90	3.45	-28.50	0.01	
0.90	3.18	-34.97	0.01	
0.90	2.79	-44.28	0.01	
0.90	2.31	-50.68	0.01	
0.90	1.68	-53.30	0.01	
0.90	1.10	-54.37	0.01	
0.90	0.40	-56.76	0.01	
0.90	-0.29	-60.47	0.01	
0.90	-1.00	-61.70	0.01	
0.90	-1.79	-58.91	0.01	
0.90	-2.55	-56.35	0.01	
0.90	-3.24	-59.30	0.01	
0.90	-4.05	-57.21	0.01	
0.90	-4.82	-54.00	0.01	
0.90	-5.48	-50.52	0.01	
0.90	-6.15	-48.19	0.01	
0.90	-6.69	-47.13	0.01	
0.90	-7.15	-45.96	0.01	
0.90	-7.62	-43.63	0.01	
0.90	-8.27	-36.90	0.01	
0.90	-8.71	-36.81	0.01	
0.90	-9.14	-40.33	0.01	
0.90	-9.55	-42.30	0.01	
0.90	-10.10	-42.77	0.01	
0.90	-10.58	-41.95	0.01	
0.90	-11.15	-43.55	0.01	
0.90	-11.66	-43.78	0.01	
0.90	-12.18	-43.61	0.01	
0.90	-12.75	-44.17	0.01	
0.90	-13.27	-44.00	0.01	
0.90	-13.91	-41.46	0.01	
0.90	-14.41	-39.20	0.01	
0.90	-14.91	-40.22	0.01	
0.90	-15.38	-37.34	0.01	
0.90	-15.90	-31.47	0.01	
0.90	-16.29	-29.39	0.01	
0.90	-16.55	-33.29	0.01	
0.90	-16.82	-38.49	0.01	
0.90	-17.13	-35.74	0.01	
0.90	-17.98	-38.67	0.01	
0.90	-18.44	-31.20	0.01	
0.90	-18.83	-26.50	0.01	
0.90	-19.07	-26.35	0.01	
0.90	-19.28	-29.90	0.01	
0.90	-19.71	-37.09	0.01	
0.90	-20.11	-38.17	0.01	
0.90	-20.63	-37.21	0.01	
0.90	-21.01	-38.57	0.01	
0.90	-21.39	-36.32	0.01	
0.90	-21.97	-48.19	0.01	
0.90	-22.44	-51.23	0.01	
0.90	-22.97	-51.17	0.01	
0.90	-23.87	-49.07	0.01	
0.90	-23.40	-46.40	0.01	
0.90	-24.19	-39.26	0.01	
0.90	-24.70	-35.91	0.01	
0.90	-25.08	-37.56	0.01	
0.90	-25.58	-36.78	0.01	
0.90	-26.13	-29.56	0.01	
0.90	-26.53	-20.87	0.01	
0.90	-26.80	-20.41	0.01	
0.90	-27.13	-24.57	0.01	
0.90	-27.39	-26.48	0.01	
0.90	-27.67	-30.47	0.01	
0.90	-27.93	-39.77	0.01	
0.90	-28.43	-46.91	0.01	
0.90	-29.03	-50.81	0.01	
0.90	-29.61	-53.55	0.01	
0.90	-30.28	-53.63	0.01	
0.90	-30.93	-62.09	0.01	
0.90	-31.68	-56.10	0.01	
0.90	-32.33	-55.89	0.01	
0.90	-33.14	-46.93	0.01	
0.90	-33.67	-54.37	0.01	
0.90	-34.38	-43.02	0.01	
0.90	-34.94	-45.28	0.01	
0.90	-34.66	37.65	0.01	
0.90	-34.22	36.58	0.01	
0.90	-33.76	37.40	0.01	
0.90	-33.29	36.73	0.01	
